id,timestamp,transcript,convo,paused
2,2024-12-02 21:21:08+00:00,Oranges have such a vibrant color and sweetness. They feel more like a treat.,1,False
3,2024-12-02 21:21:22+00:00,"Apples come in so many varieties: sweet, tart, crisp. There’s an apple for every taste.",1,False
2,2024-12-02 21:21:24+00:00,"Sure, but have you ever had fresh-squeezed orange juice? It’s unbeatable.",1,False
3,2024-12-02 21:21:33+00:00,"Apple juice is just as delicious, and you can even make apple cider for something warm.",1,False
2,2024-12-02 21:21:36+00:00,"Oranges are a great source of potassium too, which is essential for muscle function.",1,False
3,2024-12-02 21:21:39+00:00,"Apples contain antioxidants like quercetin, which is good for heart health.",1,False
2,2024-12-02 21:21:41+00:00,Oranges are better for fighting colds with all that vitamin C.,1,False
3,2024-12-02 21:22:06+00:00,"But apples have pectin, which helps regulate blood sugar levels.",1,False
3,2024-12-02 21:22:12+00:00,"Apples can do that too, especially with a crunch that’s so satisfying.",1,False
2,2024-12-02 21:22:26+00:00,,1,False
3,2024-12-02 21:22:28+00:00,"Apples, on the other hand, are perfect for fall and bring a sense of comfort.",1,False
2,2024-12-02 21:22:37+00:00,Orange zest can enhance desserts and dishes. It’s so versatile in cooking.,1,False
3,2024-12-02 21:22:40+00:00,But think of apple pie—there’s nothing more classic or comforting.,1,False
2,2024-12-02 21:22:49+00:00,"Oranges are packed with hydration, making them perfect for hot days.",1,False
3,2024-12-02 21:23:00+00:00,Apples last longer in storage. You can keep them fresh for weeks.,1,False
2,2024-12-02 21:23:03+00:00,"Oranges have that natural division into segments, making them easy to share.",1,False
3,2024-12-02 21:23:17+00:00,But apples have a long history in mythology and literature—think of the forbidden fruit.,1,False
2,2024-12-02 21:23:20+00:00,Oranges are often used as a symbol of sunshine and energy.,1,False
3,2024-12-02 21:23:22+00:00,"Apples symbolize knowledge and temptation, adding a layer of cultural depth.",1,False
2,2024-12-02 21:23:31+00:00,Oranges can be turned into marmalade. Sweet and slightly bitter—it’s unique.,1,False
3,2024-12-02 21:23:40+00:00,"Applesauce is versatile too, and it can even be used as a healthy baking substitute.",1,False
2,2024-12-02 21:24:03+00:00,Oranges have a higher concentration of vitamin C than most apples.,1,False
3,2024-12-02 21:24:05+00:00,But apples have a broader range of phytonutrients beneficial for overall health.,1,False
2,2024-12-02 21:24:19+00:00,Peeling an orange feels rewarding and therapeutic.,1,False
3,2024-12-02 21:24:22+00:00,Biting into a crisp apple is equally satisfying with that crunch.,1,False
